2013-08-20 09:07:32,191 | INFO | serverlogger | Info Message generated on server
2013-08-20 09:07:32,198 | ERROR | serverlogger | Error Message generated on server
2013-08-20 09:09:15,663 | INFO | serverlogger | Info Message generated on server
2013-08-20 09:09:15,663 | ERROR | serverlogger | Error Message generated on server
2013-08-20 10:23:14,968 | INFO | serverlogger | Info Message generated on server
2013-08-20 10:23:14,974 | ERROR | serverlogger | Error Message generated on server
2013-08-20 10:24:37,223 | INFO | serverlogger | Info Message generated on server
2013-08-20 10:24:37,228 | ERROR | serverlogger | Error Message generated on server
2013-08-20 10:25:48,649 | INFO | clientlogger | message from client
2013-08-20 10:25:48,649 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 10:25:48,649 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 10:26:21,818 | INFO | serverlogger | Info Message generated on server
2013-08-20 10:26:21,818 | ERROR | serverlogger | Error Message generated on server
2013-08-20 10:27:01,003 | INFO | clientlogger | message from client
2013-08-20 10:27:07,382 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 10:27:07,383 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:03:10,783 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:03:10,789 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:04:13,702 | INFO | clientlogger | message from client
2013-08-20 11:04:13,702 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:04:13,702 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:05:24,933 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:05:24,933 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:05:24,995 | INFO | clientlogger | message from client
2013-08-20 11:05:24,995 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:05:24,996 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:06:53,473 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:06:53,473 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:06:53,514 | INFO | clientlogger | message from client
2013-08-20 11:06:53,516 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:06:53,516 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:08:26,274 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:08:26,275 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:08:26,505 | INFO | clientlogger | message from client
2013-08-20 11:08:26,508 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:08:26,508 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:11:33,907 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:11:33,907 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:11:34,263 | INFO | clientlogger | message from client
2013-08-20 11:11:34,263 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:11:34,264 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:11:58,069 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:11:58,069 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:11:58,098 | INFO | clientlogger | message from client
2013-08-20 11:11:58,099 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:11:58,099 | FATAL | clientlogger2.a | message from client 2a - batch of 2
2013-08-20 11:12:13,894 | INFO | serverlogger | Info Message generated on server
2013-08-20 11:12:13,894 | ERROR | serverlogger | Error Message generated on server
2013-08-20 11:12:13,914 | INFO | clientlogger | message from client
2013-08-20 11:12:13,916 | FATAL | clientlogger2 | message from client 2 - batch of 2
2013-08-20 11:12:13,916 | FATAL | clientlogger2.a | message from client 2a - batch of 2
